census_ward_id,ward_name,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,No_HH,source_id,district_code,state_code
11,Ahmadabad (M Corp.) WARD NO.-0011,75051,39278,35773,6842,3607,3235,8508,4387,4121,1711,880,831,61046,33115,27931,14005,6163,7842,27840,23068,4772,26395,22259,4136,1445,809,636,47211,16210,31001,16979,census_2011,474,24
12,Ahmadabad (M Corp.) WARD NO.-0012,88032,45421,42611,6966,3894,3072,2128,1133,995,1129,587,542,75991,39660,36331,12041,5761,6280,32118,25360,6758,30600,24552,6048,1518,808,710,55914,20061,35853,20829,census_2011,474,24
13,Ahmadabad (M Corp.) WARD NO.-0013,77814,41158,36656,7194,3948,3246,6562,3423,3139,695,434,261,64999,35250,29749,12815,5908,6907,27002,23135,3867,25348,22161,3187,1654,974,680,50812,18023,32789,17237,census_2011,474,24
14,Ahmadabad (M Corp.) WARD NO.-0014,75687,39933,35754,8775,4670,4105,26681,13921,12760,958,500,458,54772,30993,23779,20915,8940,11975,28546,22829,5717,26141,21490,4651,2405,1339,1066,47141,17104,30037,16290,census_2011,474,24
15,Ahmadabad (M Corp.) WARD NO.-0015,68566,35857,32709,7414,3969,3445,13834,7229,6605,2151,1112,1039,52338,29056,23282,16228,6801,9427,23089,20098,2991,21220,18685,2535,1869,1413,456,45477,15759,29718,14362,census_2011,474,24
16,Ahmadabad (M Corp.) WARD NO.-0016,66470,34856,31614,8294,4408,3886,8130,4263,3867,850,444,406,46877,26597,20280,19593,8259,11334,22955,19469,3486,21131,18385,2746,1824,1084,740,43515,15387,28128,12946,census_2011,474,24
17,Ahmadabad (M Corp.) WARD NO.-0017,66778,35388,31390,7395,4048,3347,7028,3666,3362,846,449,397,51072,28480,22592,15706,6908,8798,22928,19648,3280,21063,18576,2487,1865,1072,793,43850,15740,28110,13308,census_2011,474,24
18,Ahmadabad (M Corp.) WARD NO.-0018,64713,33610,31103,6511,3591,2920,18033,9510,8523,3473,1772,1701,51809,28117,23692,12904,5493,7411,22534,18377,4157,20775,17396,3379,1759,981,778,42179,15233,26946,12742,census_2011,474,24
19,Ahmadabad (M Corp.) WARD NO.-0019,55983,29273,26710,6503,3440,3063,5261,2723,2538,530,277,253,41870,23510,18360,14113,5763,8350,18352,15532,2820,17151,14798,2353,1201,734,467,37631,13741,23890,10523,census_2011,474,24
20,Ahmadabad (M Corp.) WARD NO.-0020,79926,42100,37826,9766,5217,4549,16469,8647,7822,491,267,224,58706,33526,25180,21220,8574,12646,27478,22916,4562,25692,21924,3768,1786,992,794,52448,19184,33264,14896,census_2011,474,24
21,Ahmadabad (M Corp.) WARD NO.-0021,68670,36028,32642,7373,3950,3423,11690,6169,5521,749,375,374,53047,29506,23541,15623,6522,9101,23734,19875,3859,22197,19010,3187,1537,865,672,44936,16153,28783,13491,census_2011,474,24
22,Ahmadabad (M Corp.) WARD NO.-0022,88907,47508,41399,9214,5087,4127,16473,8723,7750,1068,566,502,70636,39457,31179,18271,8051,10220,29825,26103,3722,28193,25167,3026,1632,936,696,59082,21405,37677,18156,census_2011,474,24
23,Ahmadabad (M Corp.) WARD NO.-0023,104358,56177,48181,13499,7229,6270,11575,6020,5555,829,418,411,76961,44319,32642,27397,11858,15539,35060,31341,3719,33106,30320,2786,1954,1021,933,69298,24836,44462,20538,census_2011,474,24
24,Ahmadabad (M Corp.) WARD NO.-0024,124548,65417,59131,14213,7608,6605,8481,4490,3991,4481,2329,2152,93743,51717,42026,30805,13700,17105,44130,37161,6969,39360,34444,4916,4770,2717,2053,80418,28256,52162,25483,census_2011,474,24
25,Ahmadabad (M Corp.) WARD NO.-0025,89953,47708,42245,10625,5689,4936,25600,13535,12065,570,285,285,67625,38340,29285,22328,9368,12960,31088,26808,4280,29037,25713,3324,2051,1095,956,58865,20900,37965,18372,census_2011,474,24
26,Ahmadabad (M Corp.) WARD NO.-0026,137446,73473,63973,14225,7998,6227,10323,5449,4874,533,266,267,113647,62299,51348,23799,11174,12625,46359,40984,5375,43383,39571,3812,2976,1413,1563,91087,32489,58598,29056,census_2011,474,24
27,Ahmadabad (M Corp.) WARD NO.-0027,109922,58050,51872,11935,6545,5390,7348,3838,3510,1065,576,489,87744,47990,39754,22178,10060,12118,37391,32320,5071,35035,30917,4118,2356,1403,953,72531,25730,46801,23919,census_2011,474,24
28,Ahmadabad (M Corp.) WARD NO.-0028,93835,49567,44268,10553,5667,4886,10980,5755,5225,304,166,138,73142,40439,32703,20693,9128,11565,32163,27246,4917,30280,26302,3978,1883,944,939,61672,22321,39351,17766,census_2011,474,24
29,Ahmadabad (M Corp.) WARD NO.-0029,76838,40509,36329,10012,5291,4721,11924,6239,5685,309,169,140,56521,31698,24823,20317,8811,11506,25907,21820,4087,24190,20841,3349,1717,979,738,50931,18689,32242,13454,census_2011,474,24
30,Ahmadabad (M Corp.) WARD NO.-0030,70015,36562,33453,8299,4408,3891,26572,13963,12609,279,148,131,53193,29300,23893,16822,7262,9560,24052,20029,4023,22721,19273,3448,1331,756,575,45963,16533,29430,13223,census_2011,474,24
31,Ahmadabad (M Corp.) WARD NO.-0031,79409,42181,37228,11164,5847,5317,8070,4219,3851,424,218,206,56605,31984,24621,22804,10197,12607,26518,22673,3845,24410,21537,2873,2108,1136,972,52891,19508,33383,13684,census_2011,474,24
32,Ahmadabad (M Corp.) WARD NO.-0032,80638,43435,37203,9718,5253,4465,19034,10052,8982,818,446,372,60420,34924,25496,20218,8511,11707,28346,24558,3788,26895,23708,3187,1451,850,601,52292,18877,33415,16573,census_2011,474,24
33,Ahmadabad (M Corp.) WARD NO.-0033,114146,61375,52771,12921,6937,5984,28721,15273,13448,1349,734,615,87559,49835,37724,26587,11540,15047,42734,35288,7446,38810,33468,5342,3924,1820,2104,71412,26087,45325,24720,census_2011,474,24
34,Ahmadabad (M Corp.) WARD NO.-0034,137840,74145,63695,15509,8595,6914,7445,3973,3472,867,470,397,109729,61545,48184,28111,12600,15511,47527,42001,5526,43346,39508,3838,4181,2493,1688,90313,32144,58169,28852,census_2011,474,24
