station_id,date,temperature_daily_c,relative_humidity_daily_pct,wind_speed_daily_ms,surface_pressure_daily_hpa,precipitation_daily_m,meteo_available
site_5449,2025-05-19,33.82271728515627,57.60987402146882,2.2863470124421537,997.263359375,0.0104904174804687,True
site_5456,2025-05-19,33.82271728515627,57.60987402146882,2.2863470124421537,997.263359375,0.0104904174804687,True
site_5453,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_5450,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_308,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_5452,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_5451,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_5454,2025-05-24,34.77776489257815,52.21282696729872,2.7770117323051,993.2746875,0.0,True
site_5455,2025-05-24,34.77776489257815,52.21282696729872,2.7770117323051,993.2746875,0.0,True
site_5449,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_5456,2025-05-24,34.83864746093752,51.680972172884914,2.7344558307299613,992.10671875,0.0,True
site_5453,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_5450,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_308,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_5452,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_5451,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_5454,2025-05-25,34.3065124511719,55.97738022883138,1.88633318619438,995.280703125,0.0,True
site_5455,2025-05-25,34.3065124511719,55.97738022883138,1.88633318619438,995.280703125,0.0,True
site_5449,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_5456,2025-05-25,34.3477722167969,56.40634084928924,1.915974059411229,994.08109375,0.0,True
site_5453,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
site_5450,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
site_308,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
site_5452,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
site_5451,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
site_5454,2025-05-28,32.4068542480469,67.6528478137235,3.1777454638288583,993.736015625,0.0,True
site_5455,2025-05-28,32.4068542480469,67.6528478137235,3.1777454638288583,993.736015625,0.0,True
site_5449,2025-05-28,32.2327819824219,67.97326371036185,3.363179090386044,992.568984375,0.0,True
